chinese_name,english_name,monster_id,source,size,swarm,swarm_size,type,sub_type,alignment,ac,hp,speed,initiative,strength,dexterity,constitution,intelligence,wisdom,charisma,skills,damage_vulnerabilities,damage_resistances,damage_immunities,equipment,senses,languages,challenge_rating,proficiencies,sections
战马,Warhorse,MM25_Prof2_CR1_2_warhorse,MM25,['大型'],False,,野兽,,无阵营,11,19（3d10+3）,60尺,+1（11）,"{'scores': '18', 'mod': '+4', 'save': '+4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+3'}","{'scores': '7', 'mod': '-2', 'save': '-2'}",,,,,,被动察觉11,无,1/2,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>蹄击Hooves。</strong><em>近战攻击检定：</em>+6，触及5尺。<em>命中：</em>9（2d4+4）钝击伤害。若战马在此次攻击前立即向着目标移动了20+尺且目标生物体型不超过大型，则目标额外受到5（2d4）钝击伤害并陷入<u>倒地</u>状态。\n</p>'}]"
棕熊,Brown Bear,MM25_Prof2_CR1_brown_bear,MM25,['大型'],False,,野兽,,无阵营,11,22（3d10+6）,40尺，攀爬30尺,+1（11）,"{'scores': '17', 'mod': '+3', 'save': '+3'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '15', 'mod': '+2', 'save': '+2'}","{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '7', 'mod': '-2', 'save': '-2'}",察觉+3,,,,,黑暗视觉60尺；被动察觉13,无,1,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>棕熊发动一次啃咬攻击和一次利爪攻击。<br/>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+5，触及5尺。<em>命中：</em>7（1d8+3）穿刺伤害。<br/><strong>利爪Claw。</strong>\n<em>近战攻击检定：</em>+5，触及5尺。<em>命中：</em>5（1d4+3）挥砍伤害。若目标生物体型不超过大型，则其陷入<u>倒地</u>状态。\n</p>'}]"
毒蛇,Venomous Snake,MM25_Prof2_CR1_8_venomous_snake,MM25,['微型'],False,,野兽,,无阵营,12,5（2d4）,30尺，游泳30尺,+2（12）,"{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '15', 'mod': '+2', 'save': '+2'}","{'scores': '11', 'mod': '+0', 'save': '+0'}","{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '3', 'mod': '-4', 'save': '-4'}",,,,,,盲视10尺；被动察觉10,无,1/8,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>4（1d4+2）穿刺伤害外加3（1d6）毒素伤害。\n</p>'}]"
河马,Hippopotamus,MM25_Prof2_CR4_hippopotamus,MM25,['大型'],False,,野兽,,无阵营,14,82（11d10+22）,30尺，游泳30尺,-2（8）,"{'scores': '21', 'mod': '+5', 'save': '+7'}","{'scores': '7', 'mod': '-2', 'save': '-2'}","{'scores': '15', 'mod': '+2', 'save': '+2'}","{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '4', 'mod': '-3', 'save': '-3'}",察觉+3,,,,,被动察觉13,无,4,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>屏息Hold Breath。</strong>河马可以屏息10分钟。\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>河马发动两次啃咬攻击。<br/>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+7，触及5尺。<em>命中：</em>16（2d10+5）穿刺伤害。\n</p>'}]"
海马,Seahorse,MM25_Prof2_CR0_seahorse,MM25,['微型'],False,,野兽,,无阵营,12,1（1d4-1）,5尺，游泳20尺,+1（11）,"{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '8', 'mod': '-1', 'save': '-1'}","{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '2', 'mod': '-4', 'save': '-4'}",察觉+2，隐匿+5,,,,,被动察觉12,无,0,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>水下呼吸Water Breathing。</strong>海马只能在水下呼吸。\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>泡泡疾行Bubble Dash。</strong>若海马身处水下，其移动至多等于其游泳速度的距离且不会引发<u>借机攻击</u>。\n</p>'}]"
渡鸦,Raven,MM25_Prof2_CR0_raven,MM25,['微型'],False,,野兽,,无阵营,12,2（1d4）,10尺，飞行50尺,+2（12）,"{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '5', 'mod': '-3', 'save': '-3'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '6', 'mod': '-2', 'save': '-2'}",察觉+3,,,,,被动察觉13,无,0,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>拟声Mimicry。</strong>渡鸦可以模仿曾听过的简单声音，如低语声或鸟鸣声。听到该声音的生物可以成功通过一次DC10的感知（洞悉）检定来发现其是模仿。<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>喙啄Beak。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>1穿刺伤害。\n</p>'}]"
犀牛,Rhinoceros,MM25_Prof2_CR2_rhinoceros,MM25,['大型'],False,,野兽,,无阵营,13,45（6d10+12）,40尺,-1（9）,"{'scores': '21', 'mod': '+5', 'save': '+5'}","{'scores': '8', 'mod': '-1', 'save': '-1'}","{'scores': '15', 'mod': '+2', 'save': '+2'}","{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '6', 'mod': '-2', 'save': '-2'}",,,,,,被动察觉11,无,2,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>顶撞Gore。</strong><em>近战攻击检定：</em>+7，触及5尺。<em>命中：</em>14（2d8+5）穿刺伤害。若犀牛在此次攻击前立即向着目标直线移动20+尺且目标生物体型不超过大型，则目标额外受到9（2d8）穿刺伤害并陷入<u><u><font color=""#000000"">倒地</font></u></u>状态。<br/>\n</p>'}]"
狒狒,Baboon,MM25_Prof2_CR0_baboon,MM25,['小型'],False,,野兽,,无阵营,12,3（1d6）,30尺，攀爬30尺,+2（12）,"{'scores': '8', 'mod': '-1', 'save': '-1'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '11', 'mod': '+0', 'save': '+0'}","{'scores': '4', 'mod': '-3', 'save': '-3'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '6', 'mod': '-2', 'save': '-2'}",,,,,,被动察觉11,无,0,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>集群战术Pack Tactics。</strong>若狒狒的攻击目标生物5尺内存在有至少一名狒狒未<u>失能</u>的盟友，则狒狒对该生物进行的攻击检定具有优势。\n</p>'}, {'title': '动作Traits', 'content': '<p>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+1，触及5尺。<em>命中：</em>1（1d4-1）穿刺伤害。\n</p>'}]"
狮子,Lion,MM25_Prof2_CR1_lion,MM25,['大型'],False,,野兽,,无阵营,12,22（4d10）,50尺,+2（12）,"{'scores': '17', 'mod': '+3', 'save': '+3'}","{'scores': '15', 'mod': '+2', 'save': '+2'}","{'scores': '11', 'mod': '+0', 'save': '+0'}","{'scores': '3', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '8', 'mod': '-1', 'save': '-1'}",察觉+3，隐匿+4,,,,,黑暗视觉60尺；被动察觉13,无,1,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>集群战术Pack Tactics。</strong>若狮子的攻击目标生物5尺内存在有至少一名狮子未<u>失能</u>的盟友，则狮子对该生物进行的攻击检定具有优势。<br/>\n<strong>助跑起跳Running Leap。</strong>狮子在助跑10尺后可以跳远至多25尺。\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>狮子发动两次撕裂攻击。其可以将其中一次攻击替换为使用咆哮。<br/>\n<strong>撕裂Rend。</strong><em>近战攻击检定：</em>+5，触及5尺。<em>命中：</em>7（1d8+3）挥砍伤害。<br/>\n<strong>咆哮Roar。</strong><em>感知豁免检定：</em>DC11，单一15尺内的生物。<em>失败：</em>目标陷入<u>恐慌</u>状态直至狮子下个回合开始。\n</p>'}]"
狼,Wolf,MM25_Prof2_CR1_4_wolf,MM25,['中型'],False,,野兽,,无阵营,12,11（2d8+2）,40尺,+2（12）,"{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '15', 'mod': '+2', 'save': '+2'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '3', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '6', 'mod': '-2', 'save': '-2'}",察觉+5，隐匿+4,,,,,黑暗视觉60尺；被动察觉15,无,1/4,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>集群战术Pack Tactics。</strong>若狼的攻击目标生物5尺内存在有至少一名狼未<u>失能</u>的盟友，则狼对该生物进行的攻击检定具有优势。<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>5（1d6+2）穿刺伤害，若目标生物体型不超过中型，则其陷入<u>倒地</u>状态。\n</p>'}]"
猛犸,Mammoth,MM25_Prof3_CR6_mammoth,MM25,['巨型'],False,,野兽,,无阵营,13,126（11d12+55）,50尺,+2（12）,"{'scores': '24', 'mod': '+7', 'save': '+10'}","{'scores': '9', 'mod': '-1', 'save': '-1'}","{'scores': '21', 'mod': '+5', 'save': '+8'}","{'scores': '3', 'mod': '-4', 'save': '-4'}","{'scores': '11', 'mod': '+0', 'save': '+0'}","{'scores': '6', 'mod': '-2', 'save': '-2'}",,,,,,被动察觉10,无,6,+3,"[{'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>猛犸发动两次顶撞攻击。<br/>\n<strong>顶撞Gore。</strong><em>近战攻击检定：</em>+10，触及10尺。<em>命中：</em>18（2d10+7）穿刺伤害。若猛犸在此次攻击前立即向着目标直线移动了20+尺且目标生物体型不超过巨型，则目标陷入<u>倒地</u>状态\n</p>'}, {'title': '附赠动作Bonus Actions', 'content': '<p>\n<strong>践踏Trample。</strong><em>敏捷豁免检定：</em>DC18，单一5尺内处于<u>倒地</u>状态的生物。<em>失败：</em>29（4d10+7）钝击伤害。<em>成功：</em>半伤。\n</p>'}]"
猫,Cat,MM25_Prof2_CR0_cat,MM25,['微型'],False,,野兽,,无阵营,12,2（1d4）,40尺，攀爬40尺,+2（12）,"{'scores': '3', 'mod': '-4', 'save': '-4'}","{'scores': '15', 'mod': '+2', 'save': '+4'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '3', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '7', 'mod': '-2', 'save': '-2'}",察觉+3，隐匿+4,,,,,黑暗视觉60尺；被动察觉13,无,0,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>猫跃Jumper。</strong>猫使用其敏捷来决定跳跃的距离，而非其力量。<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>爪挠Scratch。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>1挥砍伤害。\n</p>'}]"
猫头鹰,Owl,MM25_Prof2_CR0_owl,MM25,['微型'],False,,野兽,,无阵营,11,1（1d4-1）,5尺，飞行60尺,+1（11）,"{'scores': '3', 'mod': '-4', 'save': '-4'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '8', 'mod': '-1', 'save': '-1'}","{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '7', 'mod': '-2', 'save': '-2'}",察觉+5，隐匿+5,,,,,黑暗视觉120尺；被动察觉15,无,0,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>飞掠Flyby。</strong>猫头鹰飞行离开敌人的触及范围时不会引发<u>借机攻击</u>。<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>禽爪Talons。</strong><em>近战攻击检定：</em>+3，触及5尺。<em>命中：</em>1挥砍伤害。\n</p>'}]"
猿,Ape,MM25_Prof2_CR1_2_ape,MM25,['中型'],False,,野兽,,无阵营,12,19（3d8+6）,30尺，攀爬30尺,+2（12）,"{'scores': '16', 'mod': '+3', 'save': '+3'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '6', 'mod': '-2', 'save': '-2'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '7', 'mod': '-2', 'save': '-2'}",运动+5，察觉+3,,,,,被动察觉13,无,1/2,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>猿发动两次拳击攻击。<br/>\n<strong>拳击Fist。</strong><em>近战攻击检定：</em>+5，触及5尺。<em>命中：</em>5（1d4+3）钝击伤害。<br/>\n<strong>投石Rock（充能6）。</strong><em>远程攻击检定：</em>+5，射程25/50尺。<em>命中：</em>10（2d6+3）钝击伤害。\n</p>'}]"
獒犬,Mastiff,MM25_Prof2_CR1_8_mastiff,MM25,['中型'],False,,野兽,,无阵营,12,5（1d8+1）,40尺,+2（12）,"{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '3', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+3'}","{'scores': '7', 'mod': '-2', 'save': '-2'}",察觉+5,,,,,黑暗视觉60尺；被动察觉15,无,1/8,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+3，触及5尺。<em>命中：</em>4（1d6+1）穿刺伤害。若目标生物体型不超过中型，则其还会<u>倒地</u>状态。\n</p>'}]"
獾,Badger,MM25_Prof2_CR0_badger,MM25,['微型'],False,,野兽,,无阵营,11,5（1d4+3）,20尺，掘穴5尺,+0（10）,"{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '11', 'mod': '+0', 'save': '+0'}","{'scores': '16', 'mod': '+3', 'save': '+3'}","{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '5', 'mod': '-3', 'save': '-3'}",察觉+3,,毒素,,,黑暗视觉30尺；被动察觉13,无,0,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+2，触及5尺。<em>命中：</em>1穿刺伤害。\n</p>'}]"
白熊,Polar Bear,MM25_Prof2_CR2_polar_bear,MM25,['大型'],False,,野兽,,无阵营,12,42（5d10+15）,40尺，游泳40尺,+2（12）,"{'scores': '20', 'mod': '+5', 'save': '+5'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '16', 'mod': '+3', 'save': '+3'}","{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '7', 'mod': '-2', 'save': '-2'}",察觉+5，隐匿+4,,寒冷,,,黑暗视觉60尺；被动察觉15,无,2,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>多重攻击Multiattack。</strong>白熊发动两次撕裂攻击。<br/>\n<strong>撕裂Rend。</strong><em>近战攻击检定：</em>+7，触及5尺。<em>命中：</em>9（1d8+5）挥砍伤害。\n</p>'}]"
矮种马,Pony,MM25_Prof2_CR1_8_pony,MM25,['中型'],False,,野兽,,无阵营,10,11（2d8+2）,40尺,+0（10）,"{'scores': '15', 'mod': '+2', 'save': '+4'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '11', 'mod': '+0', 'save': '+0'}","{'scores': '7', 'mod': '-2', 'save': '-2'}",,,,,,被动察觉10,无,1/8,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>蹄击Hooves。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>4（1d4+2）钝击伤害。<br/>\n</p>'}]"
礁鲨,Reef Shark,MM25_Prof2_CR1_2_reef_shark,MM25,['中型'],False,,野兽,,无阵营,12,22（4d8+4）,5尺，游泳30尺,+2（12）,"{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '15', 'mod': '+2', 'save': '+2'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '4', 'mod': '-3', 'save': '-3'}",察觉+2,,,,,盲视30尺；被动察觉12,无,1/2,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>集群战术Pack Tactics。</strong>若礁鲨的攻击目标生物5尺内存在有至少一名礁鲨未<u>失能</u>的盟友，则礁鲨对该生物进行的攻击检定具有优势。<br/>\n<strong>水下呼吸Water Breath。</strong>礁鲨只能在水下呼吸。\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>7（2d4+2）穿刺伤害。\n</p>'}]"
秃鹫,Vulture,MM25_Prof2_CR0_vulture,MM25,['中型'],False,,野兽,,无阵营,10,5（1d8+1）,10尺，飞行50尺,+0（10）,"{'scores': '7', 'mod': '-2', 'save': '-2'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '4', 'mod': '-3', 'save': '-3'}",察觉+3,,,,,被动察觉13,无,0,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>集群战术Pack Tactics。</strong>若秃鹫的攻击目标生物5尺内存在有至少一名秃鹫未<u>失能</u>的盟友，则秃鹫对该生物进行的攻击检定具有优势。\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>喙啄Beak。</strong><em>近战攻击检定：</em>+2，触及5尺。<em>命中：</em>2（1d4）穿刺伤害。\n</p>'}]"
章鱼,Octopus,MM25_Prof2_CR0_octopus,MM25,['小型'],False,,野兽,,无阵营,12,3（1d6）,5尺，游泳30尺,+2（12）,"{'scores': '4', 'mod': '-3', 'save': '-3'}","{'scores': '15', 'mod': '+2', 'save': '+2'}","{'scores': '11', 'mod': '+0', 'save': '+0'}","{'scores': '3', 'mod': '-4', 'save': '-4'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '4', 'mod': '-3', 'save': '-3'}",察觉+2，隐匿+6,,,,,黑暗视觉30尺；被动察觉12,无,0,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>柔韧躯体Compression。</strong>章鱼可以移动穿过最窄1寸宽的空间而无需消耗额外的移动力。<br/>\n<strong>水下呼吸Water Breathing。</strong>章鱼只能在水下呼吸。<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>触须Tentacles。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>1钝击伤害。<br/>\n</p>'}, {'title': '反应Reactions', 'content': '<p>\n<strong>墨水云Ink Cloud（1/日）。</strong><em>触发：</em>一名处于水下的生物在章鱼5尺内结束其回合。 <em>响应：</em>章鱼释放出墨水覆盖以自己为中心的5尺<u>立方</u>区域，且章鱼移动至多等于其游泳速度的距离。该立方区域在1分钟内变为<u>重度遮蔽</u>，当有强劲水流或类似效应将墨水击散时，该效应提前结束。\n</p>'}]"
胡狼,Jackal,MM25_Prof2_CR0_jackal,MM25,['小型'],False,,野兽,,无阵营,12,3（1d6）,40尺,+2（12）,"{'scores': '8', 'mod': '-1', 'save': '-1'}","{'scores': '15', 'mod': '+2', 'save': '+2'}","{'scores': '11', 'mod': '+0', 'save': '+0'}","{'scores': '3', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '6', 'mod': '-2', 'save': '-2'}",察觉+5，隐匿+4,,,,,黑暗视觉90尺；被动察觉15,无,0,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+1，触及5尺。<em>命中：</em>1（1d4-1）穿刺伤害。\n</p>'}]"
虎,Tiger,MM25_Prof2_CR1_tiger,MM25,['大型'],False,,野兽,,无阵营,13,30（4d10+8）,40尺,+3（13）,"{'scores': '17', 'mod': '+3', 'save': '+3'}","{'scores': '16', 'mod': '+3', 'save': '+3'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '3', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '8', 'mod': '-1', 'save': '-1'}",察觉+3，隐匿+7,,,,,黑暗视觉60尺；被动察觉13,无,1,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>撕裂Rend。</strong><em>近战攻击检定：</em>+5，触及5尺。<em>命中：</em>10（2d6+3）挥砍伤害。若目标生物体型是不超过大型，则其陷入<u>倒地</u>状态。\n</p>'}, {'title': '附赠动作Bonus Actions', 'content': '<p>\n<strong>迅捷逃逸Nimble Escape。</strong>虎执行<u>撤离</u>或<u>躲藏</u>动作。\n</p>'}]"
虎鲸,Killer Whale,MM25_Prof2_CR3_killer_whale,MM25,['巨型'],False,,野兽,,无阵营,12,90（12d12+12）,5尺，游泳60尺,+2（12）,"{'scores': '19', 'mod': '+4', 'save': '+4'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '3', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '7', 'mod': '-2', 'save': '-2'}",察觉+3，隐匿+4,,,,,盲视120尺；被动察觉13,无,3,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>屏息Hold Breath。</strong>虎鲸可以屏息30分钟。<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+6，触及5尺。<em>命中：</em>21（5d6+4）穿刺伤害。\n</p>'}]"
蛙,Frog,MM25_Prof2_CR0_frog,MM25,['微型'],False,,野兽,,无阵营,11,1（1d4-1）,20尺，游泳20尺,+1（11）,"{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '13', 'mod': '+1', 'save': '+1'}","{'scores': '8', 'mod': '-1', 'save': '-1'}","{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '8', 'mod': '-1', 'save': '-1'}","{'scores': '3', 'mod': '-4', 'save': '-4'}",察觉+1，隐匿+3,,,,,黑暗视觉30尺；被动察觉11,无,0,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>水陆两栖Amphibious。</strong>蛙可以在空气和水中呼吸<br/>\n<strong>立定起跳Standing Leap。</strong>不论是否助跑，蛙都能跳远至多10尺或跳高至高5尺。\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+3，触及5尺。<em>命中：</em>1穿刺伤害。\n</p>'}]"
蜘蛛,Spider,MM25_Prof2_CR0_spider,MM25,['微型'],False,,野兽,,无阵营,12,1（1d4-1）,20尺，攀爬20尺,+2（12）,"{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '14', 'mod': '+2', 'save': '+2'}","{'scores': '8', 'mod': '-1', 'save': '-1'}","{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '2', 'mod': '-4', 'save': '-4'}",隐匿+4,,,,,黑暗视觉30尺；被动察觉10,无,0,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>蛛行Spider Climb。</strong>蜘蛛可以在难以攀爬的表面上攀爬，包括沿着天花板移动，且无需为此进行属性检定。<br/>\n<strong>蛛网行者Web Walker。</strong>蜘蛛在蛛网上移动时无视蛛网造成的移动限制，且与蛛网接触期间，蜘蛛可以知道其他与该蛛网接触生物的准确位置。<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>1穿刺伤害外加2（1d4）毒素伤害。\n</p>'}]"
蜥蜴,Lizard,MM25_Prof2_CR0_lizard,MM25,['微型'],False,,野兽,,无阵营,10,2（1d4）,20尺，攀爬20尺,+0（10）,"{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '11', 'mod': '+0', 'save': '+0'}","{'scores': '10', 'mod': '+0', 'save': '+0'}","{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '8', 'mod': '-1', 'save': '-1'}","{'scores': '3', 'mod': '-4', 'save': '-4'}",,,,,,黑暗视觉30尺；被动察觉9,无,0,+2,"[{'title': '特质Traits', 'content': '<p>\n<strong>蛛行Spider Climb。</strong>蜥蜴可以在难以攀爬的表面上攀爬，包括沿着天花板移动，且无需为此进行属性检定。<br/>\n</p>'}, {'title': '动作Actions', 'content': '<p>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+2，触及5尺。<em>命中：</em>1穿刺伤害。\n</p>'}]"
蝎,Scorpion,MM25_Prof2_CR0_scorpion,MM25,['微型'],False,,野兽,,无阵营,11,1（1d4-1）,10尺,+0（10）,"{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '11', 'mod': '+0', 'save': '+0'}","{'scores': '8', 'mod': '-1', 'save': '-1'}","{'scores': '1', 'mod': '-5', 'save': '-5'}","{'scores': '8', 'mod': '-1', 'save': '-1'}","{'scores': '2', 'mod': '-4', 'save': '-4'}",,,,,,盲视10尺；被动察觉9,无,0,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>钉刺Sting。</strong><em>近战攻击检定：</em>+2，触及5尺。<em>命中：</em>1穿刺伤害外加3（1d6）毒素伤害。\n</p>'}]"
蝙蝠,Bat,MM25_Prof2_CR0_bat,MM25,['微型'],False,,野兽,,无阵营,12,1（1d4-1）,5尺，飞行30尺,+2（12）,"{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '15', 'mod': '+2', 'save': '+2'}","{'scores': '8', 'mod': '-1', 'save': '-1'}","{'scores': '2', 'mod': '-4', 'save': '-4'}","{'scores': '12', 'mod': '+1', 'save': '+1'}","{'scores': '4', 'mod': '-3', 'save': '-3'}",,,,,,盲视60尺；被动察觉11,无,0,+2,"[{'title': '动作Actions', 'content': '<p>\n<strong>啃咬Bite。</strong><em>近战攻击检定：</em>+4，触及5尺。<em>命中：</em>1穿刺伤害。\n</p>'}]"
